"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2017","336.33","325.88","347.00","310.00","143.92K","3.21%"
"Jun 10, 2017","325.88","278.41","341.94","278.26","161.36K","17.05%"
"Jun 09, 2017","278.41","256.95","279.90","256.95","77.58K","8.35%"
"Jun 08, 2017","256.95","250.70","258.93","242.04","42.05K","2.49%"
"Jun 07, 2017","250.70","261.89","263.70","241.01","72.43K","-4.27%"
"Jun 06, 2017","261.89","242.16","264.99","238.23","117.73K","8.15%"
"Jun 05, 2017","242.16","241.06","244.29","231.72","57.88K","0.46%"
"Jun 04, 2017","241.06","217.01","245.98","216.10","107.42K","11.08%"
"Jun 03, 2017","217.01","214.77","217.99","210.01","27.45K","1.04%"
"Jun 02, 2017","214.77","211.40","219.21","208.23","43.56K","1.59%"
"Jun 01, 2017","211.40","218.34","227.32","196.00","129.59K","-3.18%"
"May 31, 2017","218.34","224.69","230.55","200.90","167.00K","-2.83%"
"May 30, 2017","224.69","189.99","229.98","182.00","216.53K","18.26%"
"May 29, 2017","189.99","161.91","191.30","155.01","134.97K","17.34%"
"May 28, 2017","161.91","149.99","172.79","149.66","183.88K","7.95%"
"May 27, 2017","149.99","152.80","161.00","110.42","360.80K","-1.84%"
"May 26, 2017","152.80","168.71","187.00","143.64","185.60K","-9.43%"
"May 25, 2017","168.71","183.88","206.06","155.00","246.56K","-8.25%"
"May 24, 2017","183.88","168.24","197.41","166.33","184.31K","9.30%"
"May 23, 2017","168.24","154.92","174.30","148.60","144.90K","8.60%"
"May 22, 2017","154.92","146.14","190.00","136.80","472.57K","6.01%"
"May 21, 2017","146.14","123.03","146.40","122.32","219.99K","18.78%"
"May 20, 2017","123.03","124.40","128.95","119.54","122.85K","-1.10%"
"May 19, 2017","124.40","98.60","129.25","98.31","257.35K","26.17%"
"May 18, 2017","98.60","89.67","98.89","89.42","124.93K","9.96%"
"May 17, 2017","89.67","88.17","90.93","83.77","49.95K","1.70%"
"May 16, 2017","88.17","92.56","93.48","85.43","55.26K","-4.74%"
"May 15, 2017","92.56","90.37","95.17","90.37","115.27K","2.42%"
"May 14, 2017","90.37","89.90","91.92","88.11","49.49K","0.52%"
"May 13, 2017","89.90","86.99","89.99","84.50","30.29K","3.35%"
"May 12, 2017","86.99","89.38","92.00","83.85","80.92K","-2.67%"
"May 11, 2017","89.38","88.33","91.50","87.35","60.14K","1.19%"
"May 10, 2017","88.33","88.94","92.46","86.60","55.86K","-0.69%"
"May 09, 2017","88.94","88.97","91.10","77.76","201.04K","-0.03%"
"May 08, 2017","88.97","94.21","95.48","88.11","99.81K","-5.56%"
"May 07, 2017","94.21","96.65","98.00","90.89","62.63K","-2.52%"
"May 06, 2017","96.65","91.50","96.84","90.53","69.58K","5.63%"
"May 05, 2017","91.50","99.20","101.70","88.20","205.19K","-7.76%"
"May 04, 2017","99.20","85.79","99.78","84.61","234.89K","15.63%"
"May 03, 2017","85.79","82.01","86.62","81.00","102.03K","4.61%"
"May 02, 2017","82.01","81.40","85.18","79.49","103.34K","0.75%"
"May 01, 2017","81.40","83.51","88.10","66.00","360.89K","-2.53%"
"Apr 30, 2017","83.51","73.55","84.00","72.60","140.76K","13.54%"
"Apr 29, 2017","73.55","76.00","77.60","71.20","135.65K","-3.22%"
"Apr 28, 2017","76.00","68.00","77.40","66.00","274.12K","11.76%"
"Apr 27, 2017","68.00","57.31","68.00","56.92","150.43K","18.65%"
"Apr 26, 2017","57.31","53.90","58.38","53.66","151.53K","6.33%"
"Apr 25, 2017","53.90","53.54","54.21","53.25","27.84K","0.67%"
"Apr 24, 2017","53.54","53.33","54.48","53.00","57.99K","0.39%"
"Apr 23, 2017","53.33","52.15","54.44","51.75","53.39K","2.26%"
"Apr 22, 2017","52.15","51.37","52.78","51.03","35.81K","1.52%"
"Apr 21, 2017","51.37","51.96","52.27","51.10","44.69K","-1.14%"
"Apr 20, 2017","51.96","49.66","52.45","48.60","99.32K","4.63%"
"Apr 19, 2017","49.66","52.42","53.00","45.00","131.60K","-5.27%"
"Apr 18, 2017","52.42","49.52","53.00","49.07","183.89K","5.86%"
"Apr 17, 2017","49.52","49.58","50.27","48.88","48.76K","-0.12%"
"Apr 16, 2017","49.58","49.71","49.90","48.87","18.30K","-0.26%"
"Apr 15, 2017","49.71","48.50","50.48","47.95","94.94K","2.49%"
"Apr 14, 2017","48.50","50.65","50.65","47.34","112.71K","-4.24%"
"Apr 13, 2017","50.65","46.85","51.51","46.85","148.82K","8.11%"
"Apr 12, 2017","46.85","44.21","48.47","43.84","153.49K","5.97%"
"Apr 11, 2017","44.21","44.17","44.80","43.80","32.39K","0.09%"
"Apr 10, 2017","44.17","43.94","44.76","43.01","62.32K","0.52%"
"Apr 09, 2017","43.94","44.51","44.86","43.18","50.66K","-1.28%"
"Apr 08, 2017","44.51","42.25","45.76","42.25","103.95K","5.35%"
"Apr 07, 2017","42.25","43.11","44.53","41.78","79.29K","-1.99%"
"Apr 06, 2017","43.11","45.35","46.03","41.25","185.55K","-4.94%"
"Apr 05, 2017","45.35","44.41","47.53","44.19","161.26K","2.12%"
"Apr 04, 2017","44.41","44.28","45.69","41.05","217.96K","0.29%"
"Apr 03, 2017","44.28","48.60","48.60","42.77","334.41K","-8.89%"
"Apr 02, 2017","48.60","50.59","51.59","47.70","224.17K","-3.93%"
"Apr 01, 2017","50.59","49.72","51.87","48.70","110.41K","1.75%"
"Mar 31, 2017","49.72","51.62","51.83","46.82","224.20K","-3.68%"
"Mar 30, 2017","51.62","52.88","53.28","50.75","106.85K","-2.38%"
"Mar 29, 2017","52.88","50.16","54.30","49.40","195.81K","5.42%"
"Mar 28, 2017","50.16","48.93","50.60","47.95","129.69K","2.51%"
"Mar 27, 2017","48.93","50.46","52.01","47.67","111.39K","-3.03%"
"Mar 26, 2017","50.46","50.75","51.80","46.55","132.00K","-0.57%"
"Mar 25, 2017","50.75","54.01","54.90","47.46","327.30K","-6.04%"
"Mar 24, 2017","54.01","43.14","58.99","42.50","467.53K","25.20%"
"Mar 23, 2017","43.14","41.46","44.75","40.22","149.61K","4.05%"
"Mar 22, 2017","41.46","42.45","42.95","38.51","139.58K","-2.33%"
"Mar 21, 2017","42.45","42.06","43.70","41.15","132.27K","0.93%"
"Mar 20, 2017","42.06","43.17","45.13","39.47","250.00K","-2.57%"
"Mar 19, 2017","43.17","34.20","45.69","34.10","482.75K","26.23%"
"Mar 18, 2017","34.20","44.65","44.99","31.10","605.22K","-23.40%"
"Mar 17, 2017","44.65","45.07","51.88","32.84","969.51K","-0.93%"
"Mar 16, 2017","45.07","34.80","46.21","34.80","875.17K","29.51%"
"Mar 15, 2017","34.80","28.66","34.80","28.36","387.16K","21.42%"
"Mar 14, 2017","28.66","28.40","29.93","27.00","200.54K","0.92%"
"Mar 13, 2017","28.40","23.20","30.60","23.20","508.93K","22.41%"
"Mar 12, 2017","23.20","21.30","23.23","21.05","224.82K","8.92%"
"Mar 11, 2017","21.30","19.18","21.45","18.83","189.08K","11.05%"
"Mar 10, 2017","19.18","17.75","19.70","16.50","235.67K","8.06%"
"Mar 09, 2017","17.75","16.51","18.00","16.25","80.46K","7.51%"
"Mar 08, 2017","16.51","18.88","18.88","16.51","160.59K","-12.55%"
"Mar 07, 2017","18.88","19.51","19.67","18.50","65.33K","-3.23%"
"Mar 06, 2017","19.51","19.35","20.23","19.14","90.55K","0.83%"
"Mar 05, 2017","19.35","18.50","19.45","18.15","64.68K","4.59%"
"Mar 04, 2017","18.50","19.49","20.00","18.40","94.84K","-5.08%"
"Mar 03, 2017","19.49","19.02","20.73","18.43","280.29K","2.47%"
"Mar 02, 2017","19.02","17.43","19.45","16.30","258.03K","9.12%"
"Mar 01, 2017","17.43","15.86","17.49","15.62","98.12K","9.90%"
"Feb 28, 2017","15.86","15.50","16.23","15.18","176.17K","2.32%"
"Feb 27, 2017","15.50","14.57","15.75","14.30","134.08K","6.38%"
"Feb 26, 2017","14.57","13.55","14.66","13.30","81.33K","7.53%"
"Feb 25, 2017","13.55","13.11","13.80","13.05","63.73K","3.36%"
"Feb 24, 2017","13.11","13.27","13.31","12.70","41.53K","-1.21%"
"Feb 23, 2017","13.27","12.68","13.37","12.60","48.19K","4.65%"
"Feb 22, 2017","12.68","12.82","12.85","12.60","13.59K","-1.09%"
"Feb 21, 2017","12.82","12.40","12.89","12.25","49.74K","3.39%"
"Feb 20, 2017","12.40","12.80","12.91","12.40","26.07K","-3.13%"
"Feb 19, 2017","12.80","12.79","12.94","12.70","15.57K","0.08%"
"Feb 18, 2017","12.79","12.76","12.90","12.70","19.23K","0.24%"
"Feb 17, 2017","12.76","12.92","12.92","12.60","24.77K","-1.24%"
"Feb 16, 2017","12.92","12.92","12.99","12.57","33.27K","0.00%"
"Feb 15, 2017","12.92","13.02","13.15","12.59","86.51K","-0.31%"
"Feb 14, 2017","12.96","11.32","13.40","11.32","175.41K","14.19%"
"Feb 13, 2017","11.35","11.33","11.37","11.05","16.95K","0.80%"
"Feb 12, 2017","11.26","11.33","11.40","11.22","10.06K","-0.62%"
"Feb 11, 2017","11.33","11.27","11.38","11.13","20.93K","0.27%"
"Feb 10, 2017","11.30","10.95","11.39","10.75","40.31K","3.67%"
"Feb 09, 2017","10.90","11.35","11.51","10.41","58.77K","-3.96%"
"Feb 08, 2017","11.35","11.45","11.60","11.00","22.54K","-0.53%"
"Feb 07, 2017","11.41","11.31","11.50","11.25","33.23K","0.80%"
"Feb 06, 2017","11.32","11.18","11.33","11.12","19.90K","1.25%"
"Feb 05, 2017","11.18","11.32","11.37","11.05","13.74K","-1.24%"
"Feb 04, 2017","11.32","11.00","11.40","11.00","45.16K","3.57%"
"Feb 03, 2017","10.93","10.78","10.93","10.55","29.30K","1.20%"
"Feb 02, 2017","10.80","10.71","10.84","10.53","42.69K","0.84%"
"Feb 01, 2017","10.71","10.71","10.77","10.41","32.51K","0.00%"
"Jan 31, 2017","10.71","10.50","10.74","10.38","71.53K","1.71%"
"Jan 30, 2017","10.53","10.44","10.69","10.38","30.57K","0.67%"
"Jan 29, 2017","10.46","10.49","10.51","10.38","10.94K","-0.48%"
"Jan 28, 2017","10.51","10.50","10.54","10.35","29.30K","0.10%"
"Jan 27, 2017","10.50","10.52","10.58","10.36","17.50K","-1.22%"
"Jan 26, 2017","10.63","10.49","10.63","10.43","24.21K","1.43%"
"Jan 25, 2017","10.48","10.52","10.58","10.35","7.48K","-0.19%"
"Jan 24, 2017","10.50","10.58","10.75","10.46","30.06K","-2.51%"
"Jan 23, 2017","10.77","10.64","10.83","10.59","15.54K","1.22%"
"Jan 22, 2017","10.64","10.91","10.98","10.34","40.19K","-2.83%"
"Jan 21, 2017","10.95","10.64","11.09","10.56","35.80K","3.11%"
"Jan 20, 2017","10.62","10.38","10.75","10.30","18.16K","2.31%"
"Jan 19, 2017","10.38","10.31","10.51","10.15","14.47K","1.86%"
"Jan 18, 2017","10.19","10.30","10.49","9.74","28.40K","0.69%"
"Jan 17, 2017","10.12","9.54","10.60","9.53","67.95K","5.31%"
"Jan 16, 2017","9.61","9.72","9.78","9.55","4.58K","-2.04%"
"Jan 15, 2017","9.81","9.67","9.83","9.60","4.82K","1.45%"
"Jan 14, 2017","9.67","9.72","9.87","9.51","4.98K","0.00%"
"Jan 13, 2017","9.67","9.83","9.83","9.39","11.36K","-1.63%"
"Jan 12, 2017","9.83","9.48","10.04","9.08","34.56K","0.41%"
"Jan 11, 2017","9.79","10.61","10.70","9.41","45.45K","-7.73%"
"Jan 10, 2017","10.61","10.43","10.75","10.20","27.71K","3.41%"
"Jan 09, 2017","10.26","10.43","10.84","9.50","47.42K","-0.19%"
"Jan 08, 2017","10.28","9.80","10.48","9.80","33.30K","4.47%"
"Jan 07, 2017","9.84","10.09","10.19","9.48","30.67K","-2.38%"
"Jan 06, 2017","10.08","10.23","10.40","9.47","41.34K","-0.69%"
"Jan 05, 2017","10.15","11.16","11.70","9.20","140.18K","-7.73%"
"Jan 04, 2017","11.00","9.57","11.10","9.44","158.93K","12.94%"
"Jan 03, 2017","9.74","8.43","9.90","8.30","172.41K","16.37%"
"Jan 02, 2017","8.37","8.19","8.50","8.11","28.93K","2.07%"
"Jan 01, 2017","8.20","8.17","8.59","8.03","41.41K","2.50%"
